anio,ciudad_id,PM10,PM2.5,Monóxido de carbono,Dióxido de nitrógeno,Dióxido de azufre,Ozono,Polvo,Temperatura,Humedad relativa,city,city_ascii,lat,lng,country,iso2
2024,1032000005,7.069489981785064,5.0852345173041895,136.9641393442623,3.640129781420765,1.1410063752276869,49.21630236794171,0.1357012750455373,18.123224043715847,68.9535519125683,Casilda,Casilda,-33.05,-61.1667,Argentina,AR
2024,1032000014,10.507081056466305,7.136270491803279,204.5537340619308,12.415289162112932,6.6217554644808745,46.32149362477232,0.1384335154826958,17.37349726775956,73.25409836065573,Martínez,Martinez,-34.4833,-58.5,Argentina,AR
2024,1032000017,7.615084244080146,5.40297131147541,147.02117486338798,0.7175091074681239,0.3655737704918032,55.56181693989071,0.179075591985428,21.86584699453552,56.73497267759563,Recreo,Recreo,-29.2667,-65.0667,Argentina,AR
2024,1032005345,7.582103825136612,5.372950819672131,142.47962204007283,3.2434312386156647,0.8663592896174863,52.46083788706739,0.1166894353369763,19.384153005464483,70.99726775956285,Coronda,Coronda,-31.9667,-60.9167,Argentina,AR
2024,1032008603,4.011851092896175,2.689367030965392,95.56204462659382,1.227106102003643,0.4626821493624772,47.43841074681238,0.2246129326047358,14.719398907103823,61.849726775956285,Tornquist,Tornquist,-38.1,-62.2167,Argentina,AR
2024,1032009573,11.49731329690346,7.881967213114755,238.87295081967213,15.34804189435337,7.155031876138434,40.67748178506375,0.1116803278688524,17.601639344262296,72.86065573770492,Lanús,Lanus,-34.7,-58.4,Argentina,AR
2024,1032010904,7.457320127504554,5.3641962659380695,165.5891393442623,4.771516393442623,1.0504781420765028,52.35564663023679,0.2396402550091074,17.738251366120217,66.66120218579235,Malvinas Argentinas,Malvinas Argentinas,-31.3697,-64.0531,Argentina,AR
2024,1032013959,10.365938069216758,7.168670309653916,233.2241575591985,13.002197176684884,4.946095173041894,40.94535519125683,0.1104280510018214,17.219398907103827,72.0,La Reja,La Reja,-34.6394,-58.8283,Argentina,AR
2024,1032014352,8.431432149362477,5.995116120218579,174.58811475409837,7.806409380692168,2.1803392531876136,46.96197632058288,0.1216985428051001,18.41448087431694,69.42622950819673,Roldán,Roldan,-32.9011,-60.9072,Argentina,AR
2024,1032016569,10.148212659380691,7.03360655737705,223.41541438979965,12.764560564663023,4.664845173041894,40.48372040072859,0.111908014571949,17.496448087431695,73.27049180327869,General Pacheco,General Pacheco,-34.45,-58.65,Argentina,AR
2024,1032017911,6.662716302367942,4.717247267759563,157.00671675774134,4.303790983606557,0.8724385245901639,56.30623861566484,0.3169398907103825,16.773224043715846,69.96994535519126,Embalse,Embalse,-32.1833,-64.4167,Argentina,AR
2024,1032019917,5.271778233151184,3.3940915300546446,93.52891621129326,1.161782786885246,0.5522199453551913,46.13262750455373,0.212887067395264,15.947814207650271,61.73497267759563,Balneario Monte Hermoso,Balneario Monte Hermoso,-38.9833,-61.3,Argentina,AR
2024,1032020207,11.999225865209471,8.551912568306012,202.81284153005464,1.136304644808743,0.3410519125683059,42.19968123861566,0.3310564663023679,22.26448087431694,70.61475409836065,San Ramón de la Nueva Orán,San Ramon de la Nueva Oran,-23.1333,-64.3333,Argentina,AR
2024,1032021324,11.49731329690346,7.881967213114755,234.90459927140253,15.34804189435337,7.155031876138434,40.67748178506375,0.1116803278688524,17.137978142076502,73.15027322404372,Florencio Varela,Florencio Varela,-34.8167,-58.2833,Argentina,AR
2024,1032026963,5.779758652094717,4.048394808743169,132.6141848816029,0.4341757741347905,0.3361908014571949,54.2033242258652,0.2433970856102003,20.766939890710383,51.80601092896175,Chamical,Chamical,-30.3667,-66.3167,Argentina,AR
2024,1032028928,6.4538479052823305,4.672973588342441,130.82103825136613,2.7763433515482694,0.6405623861566484,51.9278233151184,0.1715619307832422,17.849453551912568,68.98087431693989,Bell Ville,Bell Ville,-32.6333,-62.6833,Argentina,AR
2024,1032029022,7.4174977231329695,5.284733606557377,142.23178506375228,3.070457650273224,0.7525387067395264,49.62056010928962,0.1261384335154826,19.231147540983606,69.16120218579235,San Carlos Centro,San Carlos Centro,-31.7333,-61.1,Argentina,AR
2024,1032030395,11.49731329690346,7.881967213114755,234.4976092896175,15.34804189435337,7.155031876138434,40.67748178506375,0.1116803278688524,17.62650273224044,72.86612021857924,Bernal,Bernal,-34.7,-58.2833,Argentina,AR
2024,1032032722,9.18594034608379,6.531420765027322,155.73690801457195,0.9554417122040072,0.4021402550091075,53.69922586520948,0.1272768670309653,21.40273224043716,65.20765027322405,Tostado,Tostado,-29.2333,-61.7667,Argentina,AR
2024,1032033816,8.713217213114755,5.75790072859745,153.73258196721312,6.681306921675773,2.5904030054644807,48.48258196721312,0.1176001821493624,17.147540983606557,73.49726775956285,Tolosa,Tolosa,-34.8942,-57.9647,Argentina,AR
2024,1032038706,10.148212659380691,7.03360655737705,229.4913479052823,12.764560564663023,4.664845173041894,40.48372040072859,0.111908014571949,17.22978142076503,73.1311475409836,San Miguel,San Miguel,-34.5333,-58.7167,Argentina,AR
2024,1032039225,10.148212659380691,7.03360655737705,228.87966757741347,12.764560564663023,4.664845173041894,40.48372040072859,0.111908014571949,17.418579234972675,73.25409836065573,Tigre,Tigre,-34.5,-58.6167,Argentina,AR
2024,1032039944,10.638695355191256,7.585280054644809,180.06045081967213,1.9091871584699456,0.3817622950819672,51.790642076502735,0.090391621129326,22.438524590163933,67.44535519125684,Villa Ángela,Villa Angela,-27.5833,-60.7167,Argentina,AR
